Omega_RF_MHz,n_peaks,left_MHz,right_MHz,separation_MHz,valley_position_MHz,valley_height_uW,contrast,separation_over_measured_HWHM
18.8750,2,-9.4000,9.4000,18.8000,0.0000,28.2646,0.9386,7.5502
19.0000,2,-9.5000,9.5000,19.0000,0.0000,28.2483,0.9402,7.6305
19.1250,2,-9.6000,9.6000,19.2000,0.0000,28.2323,0.9419,7.7108
19.2500,2,-9.6000,9.6000,19.2000,0.0000,28.2165,0.9435,7.7108
19.3750,2,-9.7000,9.7000,19.4000,0.0000,28.2011,0.9450,7.7912
19.5000,2,-9.8000,9.8000,19.6000,0.0000,28.1859,0.9466,7.8715
19.6250,2,-9.8000,9.8000,19.6000,0.0000,28.1710,0.9481,7.8715
19.7500,2,-9.9000,9.9000,19.8000,0.0000,28.1563,0.9496,7.9518
19.8750,2,-9.9000,9.9000,19.8000,0.0000,28.1419,0.9511,7.9518
20.0000,0,,,,,,,
