"# Panel (a) Conventional -- SNR_dB, then SER for log2M=2,4,6,8"
SNR_dB,SER_log2M2,SER_log2M4,SER_log2M6,SER_log2M8
12.6707,1.702903e-05,7.999397e-02,5.162766e-01,8.406576e-01
13.1707,5.226379e-06,6.145901e-02,4.818261e-01,8.256105e-01
13.6707,1.397094e-06,4.585452e-02,4.461683e-01,8.091698e-01
14.1707,3.198771e-07,3.311472e-02,4.095603e-01,7.912393e-01
14.6707,6.156030e-08,2.306264e-02,3.723186e-01,7.717253e-01
15.1707,9.750036e-09,1.542626e-02,3.348181e-01,7.505392e-01
15.6707,1.241097e-09,9.864450e-03,2.974867e-01,7.276016e-01
16.1707,1.236367e-10,5.999198e-03,2.607954e-01,7.028461e-01
16.6707,9.355405e-12,3.449742e-03,2.252435e-01,6.762246e-01
17.1707,5.200285e-13,1.863364e-03,1.913375e-01,6.477128e-01
17.6707,2.042810e-14,9.384473e-04,1.595664e-01,6.173166e-01
18.1707,4.440892e-16,4.370195e-04,1.303732e-01,5.850795e-01
18.6707,0.000000e+00,1.864204e-04,1.041253e-01,5.510890e-01
19.1707,0.000000e+00,7.207791e-05,8.108740e-02,5.154844e-01
19.6707,0.000000e+00,2.496165e-05,6.139964e-02,4.784628e-01
20.1707,0.000000e+00,7.640422e-06,4.506532e-02,4.402841e-01
20.6707,0.000000e+00,2.036259e-06,3.195034e-02,4.012737e-01
21.1707,0.000000e+00,4.646459e-07,2.179607e-02,3.618222e-01
21.6707,0.000000e+00,8.908259e-08,1.424490e-02,3.223807e-01
22.1707,0.000000e+00,1.404919e-08,8.875527e-03,2.834509e-01
22.6707,0.000000e+00,1.779831e-09,5.243132e-03,2.455698e-01
23.1707,0.000000e+00,1.763585e-10,2.918466e-03,2.092882e-01
23.6707,0.000000e+00,1.326494e-11,1.520017e-03,1.751442e-01
24.1707,0.000000e+00,7.323031e-13,7.349356e-04,1.436322e-01
24.6707,0.000000e+00,2.864375e-14,3.269652e-04,1.151709e-01
25.1707,0.000000e+00,6.661338e-16,1.325152e-04,9.007268e-02
25.6707,0.000000e+00,0.000000e+00,4.837957e-05,6.851868e-02
26.1707,0.000000e+00,0.000000e+00,1.571107e-05,5.054310e-02
26.6707,0.000000e+00,0.000000e+00,4.474431e-06,3.603049e-02
27.1707,0.000000e+00,0.000000e+00,1.099871e-06,2.472736e-02
27.6707,0.000000e+00,0.000000e+00,2.292207e-07,1.626777e-02
28.1707,0.000000e+00,0.000000e+00,3.969730e-08,1.021022e-02
28.6707,0.000000e+00,0.000000e+00,5.585775e-09,6.080681e-03
29.1707,0.000000e+00,0.000000e+00,6.226530e-10,3.415340e-03
29.6707,0.000000e+00,0.000000e+00,5.344813e-11,1.796793e-03
30.1707,0.000000e+00,0.000000e+00,3.422373e-12,8.785819e-04
30.6707,0.000000e+00,0.000000e+00,1.576517e-13,3.958208e-04
31.1707,0.000000e+00,0.000000e+00,5.107026e-15,1.626979e-04
31.6707,0.000000e+00,0.000000e+00,0.000000e+00,6.034407e-05
32.1707,0.000000e+00,0.000000e+00,0.000000e+00,1.994638e-05
32.6707,0.000000e+00,0.000000e+00,0.000000e+00,5.794459e-06
33.1707,0.000000e+00,0.000000e+00,0.000000e+00,1.456396e-06
33.6707,0.000000e+00,0.000000e+00,0.000000e+00,3.111919e-07
34.1707,0.000000e+00,0.000000e+00,0.000000e+00,5.542292e-08
34.6707,0.000000e+00,0.000000e+00,0.000000e+00,8.047195e-09
35.1707,0.000000e+00,0.000000e+00,0.000000e+00,9.291790e-10
35.6707,0.000000e+00,0.000000e+00,0.000000e+00,8.297363e-11
36.1707,0.000000e+00,0.000000e+00,0.000000e+00,5.553558e-12
36.6707,0.000000e+00,0.000000e+00,0.000000e+00,2.688960e-13

"# Panel (b) LO-dressed (Practical) -- SNR_dB, then SER for log2M=2,4,6,8,10"
SNR_dB,SER_log2M2,SER_log2M4,SER_log2M6,SER_log2M8,SER_log2M10
-73.6574,7.499172e-01,9.374722e-01,9.843671e-01,9.960916e-01,9.990229e-01
-73.1574,7.499123e-01,9.374706e-01,9.843666e-01,9.960915e-01,9.990229e-01
