delta_c_MHz,R_qutip,Pout_microW
-9.0000,0.1022,0.000003
-8.8000,0.1022,0.000004
-8.6000,0.1022,0.000004
-8.4000,0.1022,0.000005
-8.2000,0.1022,0.000005
-8.0000,0.1022,0.000006
-7.8000,0.1022,0.000007
-7.6000,0.1022,0.000008
-7.4000,0.1022,0.000009
-7.2000,0.1022,0.000011
-7.0000,0.1022,0.000013
-6.8000,0.1022,0.000016
-6.6000,0.1022,0.000019
-6.4000,0.1022,0.000024
-6.2000,0.1022,0.000030
-6.0000,0.1022,0.000038
-5.8000,0.1022,0.000049
-5.6000,0.1022,0.000065
-5.4000,0.1022,0.000086
-5.2000,0.1022,0.000117
-5.0000,0.1022,0.000161
-4.8000,0.1022,0.000228
-4.6000,0.1022,0.000328
-4.4000,0.1022,0.000482
-4.2000,0.1022,0.000724
-4.0000,0.1022,0.001114
-3.8000,0.1022,0.001751
-3.6000,0.1022,0.002814
-3.4000,0.1022,0.004623
-3.2000,0.1022,0.007752
-3.0000,0.1022,0.013245
-2.8000,0.1022,0.023000
-2.6000,0.1022,0.040452
-2.4000,0.1022,0.071743
-2.2000,0.1022,0.127601
-2.0000,0.1022,0.226090
-1.8000,0.1022,0.395993
-1.6000,0.1022,0.679580
-1.4000,0.1022,1.131691
-1.2000,0.1022,1.810002
-1.0000,0.1022,2.751343
-0.8000,0.1022,3.934923
-0.6000,0.1022,5.247048
-0.4000,0.1022,6.475947
-0.2000,0.1022,7.360597
0.0000,0.1022,7.683632
0.2000,0.1022,7.360597
0.4000,0.1022,6.475947
0.6000,0.1022,5.247048
0.8000,0.1022,3.934923
1.0000,0.1022,2.751343
1.2000,0.1022,1.810002
1.4000,0.1022,1.131691
1.6000,0.1022,0.679580
1.8000,0.1022,0.395993
2.0000,0.1022,0.226090
2.2000,0.1022,0.127601
2.4000,0.1022,0.071743
2.6000,0.1022,0.040452
2.8000,0.1022,0.023000
3.0000,0.1022,0.013245
3.2000,0.1022,0.007752
3.4000,0.1022,0.004623
3.6000,0.1022,0.002814
3.8000,0.1022,0.001751
4.0000,0.1022,0.001114
4.2000,0.1022,0.000724
4.4000,0.1022,0.000482
4.6000,0.1022,0.000328
4.8000,0.1022,0.000228
5.0000,0.1022,0.000161
5.2000,0.1022,0.000117
5.4000,0.1022,0.000086
5.6000,0.1022,0.000065
5.8000,0.1022,0.000049
6.0000,0.1022,0.000038
6.2000,0.1022,0.000030
6.4000,0.1022,0.000024
6.6000,0.1022,0.000019
6.8000,0.1022,0.000016
