# METADATA
Omega_LO_opt_Eq58_MHz,2.957564
Omega_LO_operating_MHz,4.230000
linear_range_lower_MHz,1.034403
linear_range_upper_MHz,7.362704
linear_fit_slope_W_per_MHz,-1.053982e-06
linear_fit_intercept_W,4.014310e-05
linear_fit_R2,0.998178
linear_fit_resid_rms_W,8.317237e-08
n_qutip_solves,163

"# FIG.5(a): Omega_total_MHz, Pout_uW, linear_fit_Pout_uW, in_linear_range"
Omega_total_MHz,Pout_uW,linear_fit_Pout_uW,in_linear_range
4.967909e-07,1.0,5.142217,34.642845,True
4.984579e-07,1.0,5.141633,34.643480,True
5.001250e-07,1.0,5.141047,34.644117,True
5.017921e-07,1.0,5.140459,34.644756,True
5.034592e-07,1.0,5.139869,34.645397,True
5.051263e-07,1.0,5.139277,34.646040,True
5.067934e-07,1.0,5.138684,34.646686,True
5.084604e-07,1.0,5.138088,34.647333,True
5.101275e-07,1.0,5.137491,34.647983,True
5.117946e-07,1.0,5.136892,34.648634,True
5.134617e-07,1.0,5.136291,34.649288,True
5.151288e-07,1.0,5.135688,34.649944,True
5.167959e-07,1.0,5.135083,34.650602,True
5.184629e-07,1.0,5.134476,34.651262,True
5.201300e-07,1.0,5.133868,34.651924,True
5.217971e-07,1.0,5.133257,34.652588,True
5.234642e-07,1.0,5.132645,34.653254,True
5.251313e-07,1.0,5.132031,34.653922,True
5.267984e-07,1.0,5.131415,34.654592,True
5.284654e-07,1.0,5.130797,34.655264,True
5.301325e-07,1.0,5.130177,34.655939,True
5.317996e-07,1.0,5.129555,34.656615,True
5.334667e-07,1.0,5.128932,34.657294,True
5.351338e-07,1.0,5.128307,34.657974,True
5.368009e-07,1.0,5.127679,34.658657,True
5.384680e-07,1.0,5.127050,34.659342,True
5.401350e-07,1.0,5.126419,34.660028,True
5.418021e-07,1.0,5.125787,34.660717,True
5.434692e-07,1.0,5.125152,34.661408,True
5.451363e-07,1.0,5.124516,34.662101,True
5.468034e-07,1.0,5.123877,34.662796,True
5.484705e-07,1.0,5.123237,34.663493,True
5.501375e-07,1.0,5.122595,34.664192,True
5.518046e-07,1.0,5.121951,34.664893,True
5.534717e-07,1.0,5.121305,34.665597,True
5.551388e-07,1.0,5.120658,34.666302,True
5.568059e-07,1.0,5.120008,34.667009,True
5.584730e-07,1.0,5.119357,34.667719,True
5.601400e-07,1.0,5.118704,34.668430,True
5.618071e-07,1.0,5.118049,34.669144,True
5.634742e-07,1.0,5.117392,34.669859,True
5.651413e-07,1.0,5.116733,34.670577,True
5.668084e-07,1.0,5.116073,34.671296,True
5.684755e-07,1.0,5.115411,34.672018,True
5.701425e-07,1.0,5.114746,34.672742,True
5.718096e-07,1.0,5.114080,34.673468,True
5.734767e-07,1.0,5.113412,34.674195,True
5.751438e-07,1.0,5.112743,34.674925,True
5.768109e-07,1.0,5.112071,34.675657,True
5.784780e-07,1.0,5.111398,34.676391,True
5.801450e-07,1.0,5.110723,34.677127,True
5.818121e-07,1.0,5.110046,34.677865,True
5.834792e-07,1.0,5.109367,34.678606,True
5.851463e-07,1.0,5.108686,34.679348,True
5.868134e-07,1.0,5.108003,34.680092,True
5.884805e-07,1.0,5.107319,34.680838,True
5.901475e-07,1.0,5.106633,34.681587,True
5.918146e-07,1.0,5.105945,34.682337,True
5.934817e-07,1.0,5.105255,34.683089,True
5.951488e-07,1.0,5.104563,34.683844,True
5.968159e-07,1.0,5.103870,34.684600,True
5.984830e-07,1.0,5.103174,34.685359,True
6.001500e-07,1.0,5.102477,34.686119,True
6.018171e-07,1.0,5.101778,34.686882,True
6.034842e-07,1.0,5.101077,34.687647,True
6.051513e-07,1.0,5.100375,34.688413,True
6.068184e-07,1.0,5.099670,34.689182,True
6.084855e-07,1.0,5.098964,34.689953,True
6.101525e-07,1.0,5.098256,34.690725,True
6.118196e-07,1.0,5.097546,34.691500,True
6.134867e-07,1.0,5.096834,34.692277,True
6.151538e-07,1.0,5.096121,34.693056,True
6.168209e-07,1.0,5.095405,34.693837,True
6.184880e-07,1.0,5.094688,34.694620,True
6.201550e-07,1.0,5.093969,34.695405,True
6.218221e-07,1.0,5.093248,34.696192,True
6.234892e-07,1.0,5.092526,34.696981,True
6.251563e-07,1.0,5.091801,34.697772,True
6.268234e-07,1.0,5.091075,34.698565,True
6.284905e-07,1.0,5.090347,34.699360,True
6.301575e-07,1.0,5.089617,34.700157,True
6.318246e-07,1.0,5.088886,34.700956,True
6.334917e-07,1.0,5.088152,34.701757,True
6.351588e-07,1.0,5.087417,34.702561,True
6.368259e-07,1.0,5.086680,34.703366,True
6.384930e-07,1.0,5.085941,34.704173,True
6.401600e-07,1.0,5.085200,34.704982,True
6.418271e-07,1.0,5.084458,34.705794,True
6.434942e-07,1.0,5.083714,34.706607,True
6.451613e-07,1.0,5.082968,34.707422,True
6.468284e-07,1.0,5.082220,34.708240,True
6.484955e-07,1.0,5.081470,34.709059,True
6.501625e-07,1.0,5.080719,34.709880,True
6.518296e-07,1.0,5.079965,34.710704,True
6.534967e-07,1.0,5.079210,34.711529,True
6.551638e-07,1.0,5.078454,34.712357,True
6.568309e-07,1.0,5.077695,34.713186,True
6.584980e-07,1.0,5.076935,34.714017,True
6.601650e-07,1.0,5.076172,34.714851,True
6.618321e-07,1.0,5.075408,34.715686,True
6.634992e-07,1.0,5.074643,34.716524,True
6.651663e-07,1.0,5.073875,34.717363,True
6.668334e-07,1.0,5.073106,34.718205,True
6.685005e-07,1.0,5.072335,34.719048,True
6.701675e-07,1.0,5.071562,34.719894,True
6.718346e-07,1.0,5.070787,34.720741,True
6.735017e-07,1.0,5.070011,34.721591,True
6.751688e-07,1.0,5.069233,34.722442,True
6.768359e-07,1.0,5.068453,34.723296,True
6.785030e-07,1.0,5.067671,34.724151,True
