# METADATA
fig4_threshold_mhz,5.125000
fig5_Omega_LO_mhz,4.230000
fig5_linear_range_low_mhz,1.034403
fig5_linear_range_high_mhz,7.362704
Omega_RF_max_from_fig5_mhz,3.132704
kappa_W_per_rad_per_s,-1.677464e-13
P0_bar_W,3.566929e-05
A_LO,5.519570e-07
sigma_Ry_LO_sq,7.556606e-14
n_qutip_solves_this_script,350

distance_m,SNR_conventional_dB_PTx-10dBm,SNR_conventional_dB_PTx10dBm,SNR_theoretical_LO_dressed_dB_PTx-10dBm,SNR_theoretical_LO_dressed_dB_PTx10dBm,SNR_practical_LO_dressed_dB_PTx-10dBm,SNR_practical_LO_dressed_dB_PTx10dBm,practical_in_linear_region_PTx-10dBm,practical_in_linear_region_PTx10dBm,SNR_LO_free_dB_PTx10dBm,SNR_LO_free_dB_PTx20dBm,LO_free_resolved_PTx10dBm,LO_free_resolved_PTx20dBm,Omega_RF_MHz_PTx-10dBm,Omega_RF_MHz_PTx10dBm
2.985383,7.1707,27.1707,36.0571,56.0571,36.8137,,True,False,,46.0206,False,True,0.425929,4.259293
3.162278,6.6707,26.6707,35.5571,55.5571,36.3169,53.6851,True,False,,46.0206,False,True,0.402103,4.021032
3.349654,6.1707,26.1707,35.0571,55.0571,35.8197,53.4783,True,False,,46.0206,False,True,0.379610,3.796099
3.548134,5.6707,25.6707,34.5571,54.5571,35.3222,53.2394,True,False,,46.0206,False,True,0.358375,3.583748
3.758374,5.1707,25.1707,34.0571,54.0571,34.8244,52.9719,True,False,,46.0206,False,True,0.338328,3.383277
3.981072,4.6707,24.6707,33.5571,53.5571,34.3264,52.6787,True,False,,46.0206,False,True,0.319402,3.194019
4.216965,4.1707,24.1707,33.0571,53.0571,33.8281,52.3626,True,True,,46.0206,False,True,0.301535,3.015348
4.466836,3.6707,23.6707,32.5571,52.5571,33.3297,52.0261,True,True,,46.0206,False,True,0.284667,2.846672
4.731513,3.1707,23.1707,32.0571,52.0571,32.8311,51.6715,True,True,,46.0206,False,True,0.268743,2.687432
5.011872,2.6707,22.6707,31.5571,51.5571,32.3324,51.3007,True,True,,46.0206,False,True,0.253710,2.537099
5.308844,2.1707,22.1707,31.0571,51.0571,31.8335,50.9155,True,True,,46.0206,False,True,0.239518,2.395176
5.623413,1.6707,21.6707,30.5571,50.5571,31.3345,50.5176,True,True,,46.0206,False,True,0.226119,2.261192
5.956621,1.1707,21.1707,30.0571,50.0571,30.8353,50.1084,True,True,,46.0206,False,True,0.213470,2.134703
6.309573,0.6707,20.6707,29.5571,49.5571,30.3361,49.6891,True,True,,46.0206,False,True,0.201529,2.015290
6.683439,0.1707,20.1707,29.0571,49.0571,29.8368,49.2609,True,True,,46.0206,False,True,0.190256,1.902556
7.079458,-0.3293,19.6707,28.5571,48.5571,29.3375,48.8247,True,True,,46.0206,False,True,0.179613,1.796129
7.498942,-0.8293,19.1707,28.0571,48.0571,28.8380,48.3815,True,True,,46.0206,False,True,0.169565,1.695655
7.943282,-1.3293,18.6707,27.5571,47.5571,28.3385,47.9320,True,True,,,False,False,0.160080,1.600802
8.413951,-1.8293,18.1707,27.0571,47.0571,27.8390,47.4770,True,True,,,False,False,0.151125,1.511254
8.912509,-2.3293,17.6707,26.5571,46.5571,27.3394,47.0170,True,True,,,False,False,0.142672,1.426716
9.440609,-2.8293,17.1707,26.0571,46.0571,26.8397,46.5526,True,True,,,False,False,0.134691,1.346907
10.000000,-3.3293,16.6707,25.5571,45.5571,26.3400,46.0843,True,True,,,False,False,0.127156,1.271562
10.592537,-3.8293,16.1707,25.0571,45.0571,25.8403,45.6125,True,True,,,False,False,0.120043,1.200432
11.220185,-4.3293,15.6707,24.5571,44.5571,25.3405,45.1377,True,True,,,False,False,0.113328,1.133281
11.885022,-4.8293,15.1707,24.0571,44.0571,24.8408,44.6600,True,True,,,False,False,0.106989,1.069886
12.589254,-5.3293,14.6707,23.5571,43.5571,24.3410,44.1799,True,True,,,False,False,0.101004,1.010037
13.335214,-5.8293,14.1707,23.0571,43.0571,23.8411,43.6977,True,True,,,False,False,0.095354,0.953537
14.125375,-6.3293,13.6707,22.5571,42.5571,23.3413,43.2135,True,True,,,False,False,0.090020,0.900197
14.962357,-6.8293,13.1707,22.0571,42.0571,22.8414,42.7276,True,True,,,False,False,0.084984,0.849841
15.848932,-7.3293,12.6707,21.5571,41.5571,22.3416,42.2401,True,True,,,False,False,0.080230,0.802301
16.788040,-7.8293,12.1707,21.0571,41.0571,21.8417,41.7513,True,True,,,False,False,0.075742,0.757421
17.782794,-8.3293,11.6707,20.5571,40.5571,21.3418,41.2612,True,True,,,False,False,0.071505,0.715052
18.836491,-8.8293,11.1707,20.0571,40.0571,20.8419,40.7701,True,True,,,False,False,0.067505,0.675052
19.952623,-9.3293,10.6707,19.5571,39.5571,20.3419,40.2780,True,True,,,False,False,0.063729,0.637291
21.134890,-9.8293,10.1707,19.0571,39.0571,19.8420,39.7850,True,True,,,False,False,0.060164,0.601641
22.387211,-10.3293,9.6707,18.5571,38.5571,19.3421,39.2913,True,True,,,False,False,0.056799,0.567986
23.713737,-10.8293,9.1707,18.0571,38.0571,18.8421,38.7969,True,True,,,False,False,0.053621,0.536213
25.118864,-11.3293,8.6707,17.5571,37.5571,18.3422,38.3018,True,True,,,False,False,0.050622,0.506218
26.607251,-11.8293,8.1707,17.0571,37.0571,17.8422,37.8063,True,True,,,False,False,0.047790,0.477901
28.183829,-12.3293,7.6707,16.5571,36.5571,17.3423,37.3102,True,True,,,False,False,0.045117,0.451167
29.853826,-12.8293,7.1707,16.0571,36.0571,16.8423,36.8137,True,True,,,False,False,0.042593,0.425929
31.622777,-13.3293,6.6707,15.5571,35.5571,16.3423,36.3169,True,True,,,False,False,0.040210,0.402103
33.496544,-13.8293,6.1707,15.0571,35.0571,15.8424,35.8197,True,True,,,False,False,0.037961,0.379610
35.481339,-14.3293,5.6707,14.5571,34.5571,15.3424,35.3222,True,True,,,False,False,0.035837,0.358375
37.583740,-14.8293,5.1707,14.0571,34.0571,14.8424,34.8244,True,True,,,False,False,0.033833,0.338328
39.810717,-15.3293,4.6707,13.5571,33.5571,14.3424,34.3264,True,True,,,False,False,0.031940,0.319402
42.169650,-15.8293,4.1707,13.0571,33.0571,13.8424,33.8281,True,True,,,False,False,0.030153,0.301535
44.668359,-16.3293,3.6707,12.5571,32.5571,13.3425,33.3297,True,True,,,False,False,0.028467,0.284667
47.315126,-16.8293,3.1707,12.0571,32.0571,12.8425,32.8311,True,True,,,False,False,0.026874,0.268743
50.118723,-17.3293,2.6707,11.5571,31.5571,12.3425,32.3324,True,True,,,False,False,0.025371,0.253710
53.088444,-17.8293,2.1707,11.0571,31.0571,11.8425,31.8335,True,True,,,False,False,0.023952,0.239518
56.234133,-18.3293,1.6707,10.5571,30.5571,11.3425,31.3345,True,True,,,False,False,0.022612,0.226119
59.566214,-18.8293,1.1707,10.0571,30.0571,10.8425,30.8353,True,True,,,False,False,0.021347,0.213470
63.095734,-19.3293,0.6707,9.5571,29.5571,10.3425,30.3361,True,True,,,False,False,0.020153,0.201529
66.834392,-19.8293,0.1707,9.0571,29.0571,9.8425,29.8368,True,True,,,False,False,0.019026,0.190256
70.794578,-20.3293,-0.3293,8.5571,28.5571,9.3425,29.3375,True,True,,,False,False,0.017961,0.179613
74.989421,-20.8293,-0.8293,8.0571,28.0571,8.8425,28.8380,True,True,,,False,False,0.016957,0.169565
79.432823,-21.3293,-1.3293,7.5571,27.5571,8.3425,28.3385,True,True,,,False,False,0.016008,0.160080
